Pocet položek; Bubble Sort; Selection Sort; Insertion Sort
10;266,7368;0,7569;5,3266
20;0,0536;0,019;0,0291
40;0,1257;0,0585;0,042
80;0,5563;0,3569;0,2701
160;5,4847;1,9443;0,976
320;14,3981;3,6872;2,1098
640;26,1025;18,1735;7,6969
1280;108,3373;66,7311;39,5385
2560;430,9419;249,0879;146,3019
5120;1444,4409;687,2483;387,9675
10240;4473,6297;2633,069;1416,5878
20480;18082,1895;10798,4511;5869,9367
40960;71395,0589;42870,7568;24950,5956
;;;
;;;
10000000;4000162052;;2009718000
;4000162,052;;2009718
;66669,36754;;33495,3
;1111,156126;;558,255
